state,statecode,retention_rate_ave,sat_mid_score,act_mid_score
Alaska,AK,0.6238625,1121.0,21.0
Alabama,AL,0.6096273333333334,1131.0,21.5
Arkansas,AR,0.5934705128205129,1142.5,23.0
Arizona,AZ,0.6331642045454545,1161.0,23.0
California,CA,0.723631466395112,1143.0,23.0
Colorado,CO,0.6482786764705883,1119.0,23.5
Connecticut,CT,0.6900200000000001,1127.0,24.0
District of Columbia,DC,0.627203125,1318.0,29.0
Delaware,DE,0.6013142857142857,936.0,19.0
Florida,FL,0.6978957692307692,1159.0,24.0
Georgia,GA,0.6072257462686568,1049.0,21.0
Hawaii,HI,0.5842805555555555,1086.5,21.5
Iowa,IA,0.6299550724637681,1121.0,22.5
Idaho,ID,0.6925129032258065,1112.5,22.5
Illinois,IL,0.6817322916666666,1106.0,23.0
Indiana,IN,0.6722403225806451,1097.0,22.0
Kansas,KS,0.5835723880597015,1073.0,21.0
Kentucky,KY,0.6016208860759493,1145.5,23.0
Louisiana,LA,0.6269445544554455,1120.0,22.0
Massachusetts,MA,0.6988535714285714,1171.0,24.0
Maryland,MD,0.6517527397260274,1110.5,22.0
Maine,ME,0.669846875,1072.0,23.5
Michigan,MI,0.6883350694444444,1115.0,23.5
Minnesota,MN,0.6460425287356322,1177.5,24.0
Missouri,MO,0.6414424603174603,1120.0,23.0
Mississippi,MS,0.6049778846153846,1100.0,22.0
Montana,MT,0.596544827586207,1118.5,22.5
North Carolina,NC,0.6197937086092715,1049.5,21.0
North Dakota,ND,0.6039973684210527,1077.0,21.0
Nebraska,NE,0.6367040540540541,1112.5,22.0
New Hampshire,NH,0.74760625,1224.0,26.0
New Jersey,NJ,0.7023137931034482,1111.0,23.0
New Mexico,NM,0.5553404761904762,1090.5,21.5
Nevada,NV,0.7168096153846153,1126.0,22.0
New York,NY,0.715374715909091,1179.0,25.0
Ohio,OH,0.6648855042016807,1124.5,23.0
Oklahoma,OK,0.5784584210526316,1084.0,21.5
Oregon,OR,0.63788125,1140.0,23.0
Pennsylvania,PA,0.7092253597122302,1107.0,23.0
Rhode Island,RI,0.7181000000000001,1221.0,27.0
South Carolina,SC,0.5806409090909092,1056.0,20.0
South Dakota,SD,0.6203142857142857,1118.0,22.0
Tennessee,TN,0.6308106870229008,1156.0,23.0
Texas,TX,0.6331403273809524,1075.5,21.0
Utah,UT,0.7042909836065574,1201.0,25.0
Virginia,VA,0.6342371794871794,1109.0,23.0
Vermont,VT,0.6245264705882353,1258.0,28.0
Washington,WA,0.7207655737704919,1147.0,24.0
Wisconsin,WI,0.6562147435897436,1134.5,23.0
West Virginia,WV,0.6325886363636364,1048.0,21.0
Wyoming,WY,0.561005,1203.0,25.0
