school,test optional?,number of applicants,accept rate
California State Polytechnic University--Pomona,Yes,36660,0.555
Whitman College,Yes,4832,0.5579999999999999
Sarah Lawrence College,Yes,3325,0.5579999999999999
New School,Yes,9911,0.5660000000000001
University of Pittsburgh,Yes,32091,0.5670000000000001
University of California Riverside,Yes,49788,0.5670000000000001
University of Minnesota—​Twin Cities,Yes,40673,0.5670000000000001
Hobart and William Smith Colleges,Yes,4526,0.569
Abilene Christian University,Yes,11569,0.57
Bennington College,Yes,1494,0.57
Birmingham-​Southern College,Yes,3628,0.57
Fairfield University,Yes,12315,0.5710000000000001
Georgia State,Yes,19838,0.574
Texas A&M University—​College Station,Yes,42899,0.575
Saint Louis University,Yes,15120,0.575
St. John's College Annapolis,Yes,913,0.5760000000000001
Lake Forest College,Yes,4147,0.579
Kennesaw State University,Yes,13427,0.579
California State University--Fresno,Yes,18122,0.579
Rollins College,Yes,6167,0.583
University of Hawaii at Manoa,Yes,16244,0.584
University of Denver,Yes,21028,0.5870000000000001
Hampden-​Sydney College,Yes,3240,0.59
University of Illinois—​Urbana-​Champaign,Yes,43509,0.59
Millsaps College,Yes,4161,0.593
California State University--Northridge,Yes,30637,0.593
Clark University,Yes,7687,0.594
Lipscomb University,Yes,3638,0.595
Virginia Military Institute,Yes,1515,0.595
Purdue University—​West Lafayette,Yes,54912,0.598
Temple University,Yes,35599,0.6
Rutgers The State University of New Jersey—​New Brunswick,Yes,41348,0.601
Illinois Institute of Technology,Yes,5049,0.602
Yeshiva University,Yes,1508,0.603
Illinois Wesleyan University,Yes,3719,0.608
Furman University,Yes,5469,0.611
University at Buffalo—​SUNY,Yes,29900,0.611
Concordia College—​Moorhead,Yes,4160,0.612
SUNY College of Environmental Science and Forestry,Yes,2018,0.614
University of Portland,Yes,14505,0.615
Cornell College,Yes,3118,0.618
Muhlenberg College,Yes,4146,0.618
Gonzaga University,Yes,9279,0.619
Beloit College,Yes,3657,0.62
Lawrence University,Yes,3463,0.621
University of Utah,Yes,24404,0.621
Allegheny College,Yes,5208,0.622
University of Delaware,Yes,27691,0.624
Westmont College,Yes,2937,0.624
Luther College,Yes,4422,0.626
Rutgers The State University of New Jersey—​Newark,Yes,13259,0.627
Earlham College,Yes,2070,0.634
Augustana College,Yes,6211,0.636
Wofford College,Yes,3522,0.636
New Jersey Institute of Technology,Yes,8123,0.637
University of Massachusetts—​Amherst,Yes,42157,0.638
Wabash College,Yes,1307,0.642
DePauw University,Yes,4935,0.644
Drury University,Yes,1664,0.644
St. John Fisher College,Yes,4720,0.645
University of San Francisco,Yes,18411,0.6459999999999999
Bard College,Yes,5141,0.6459999999999999
Goshen College,Yes,1278,0.647
Agnes Scott College,Yes,1751,0.648
Virginia Polytechnic Institute and State University,Yes,31936,0.648
University of Houston,Yes,25393,0.65
University of North Carolina—​Charlotte,Yes,21867,0.65
Truman State University,Yes,4568,0.653
University of North Carolina—​Wilmington,Yes,13287,0.655
SUNY—​Geneseo,Yes,10433,0.655
Embry-​Riddle Aeronautical University,Yes,6017,0.655
University of the Pacific,Yes,13096,0.6559999999999999
Rochester Institute of Technology,Yes,18948,0.66
Berry College,Yes,3970,0.6609999999999999
Mississippi State University,Yes,18269,0.6629999999999999
Sewanee—​University of the South,Yes,3545,0.667
Hanover College,Yes,7795,0.669
Coe College,Yes,7795,0.669
Randolph-​Macon College,Yes,2907,0.6709999999999999
Loyola University Chicago,Yes,25583,0.672
University of Vermont,Yes,19233,0.6729999999999999
San Francisco State University,Yes,34629,0.6729999999999999
Brigham Young University—​Provo,Yes,10500,0.675
Drake University,Yes,6944,0.6759999999999999
Stonehill College,Yes,6961,0.677
Elmhurst College,Yes,4175,0.6779999999999999
Taylor University,Yes,2341,0.6809999999999999
DePaul University,Yes,26895,0.682
Knox College,Yes,3397,0.6829999999999999
Hofstra University,Yes,24425,0.685
Ithaca College,Yes,15278,0.685
California State University--San Bernardino,Yes,16307,0.6859999999999999
University of South Carolina,Yes,31268,0.6859999999999999
Albion College,Yes,4043,0.688
Presbyterian College (SC),Yes,2462,0.688
Texas Tech University,Yes,25384,0.6890000000000001
Ohio Wesleyan University,Yes,4705,0.69
Ripon College,Yes,2619,0.69
Drew University,Yes,3788,0.6920000000000001
Gustavus Adolphus College,Yes,4957,0.6920000000000001
Central Michigan,Yes,16411,0.695
Oklahoma State University,Yes,15277,0.7
Bradley University,Yes,10708,0.7020000000000001
Seton Hall University,Yes,19260,0.7040000000000001
Biola University,Yes,4149,0.705
Ursinus College,Yes,3361,0.7090000000000001
Montclair State,Yes,14324,0.7090000000000001
Clarkson University,Yes,6885,0.711
Michigan State University,Yes,44322,0.711
Hollins University,Yes,3244,0.7120000000000001
Creighton University,Yes,10112,0.7140000000000001
California Lutheran University,Yes,5752,0.715
University of Mary Washington,Yes,5909,0.718
Christopher Newport University,Yes,7204,0.7190000000000001
University of California—Merced,Yes,25368,0.72
Mercer University,Yes,5454,0.72
University of Dayton,Yes,17462,0.72
Lewis & Clark College,Yes,5863,0.722
Hendrix College,Yes,1545,0.722
University of Rhode Island,Yes,21259,0.723
California State University--Chico,Yes,25908,0.723
Stetson University,Yes,13005,0.7240000000000001
Quinnipiac University,Yes,22753,0.725
Duquesne University,Yes,7411,0.725
University of Illinois—​Chicago,Yes,22696,0.727
University of Akron,Yes,14553,0.73
St. John's University (NY),Yes,27276,0.731
University of Cincinnati,Yes,23296,0.731
Simmons University,Yes,2933,0.731
Wayne State University,Yes,15716,0.731
Butler University,Yes,14891,0.732
Point Loma Nazarene University,Yes,3277,0.737
University of North Texas,Yes,21540,0.737
University of North Georgia,Yes,6498,0.737
Xavier University,Yes,15100,0.738
Wheaton College (MA),Yes,3460,0.7390000000000001
